SchaefferID,inC1,inC2,inC3,inC4,Assignment
1,0,1,0,1,5
2,0,1,0,0,2
3,0,1,0,1,5
4,0,1,0,1,5
5,0,1,0,1,5
6,0,1,0,1,5
7,0,1,0,0,2
8,0,1,0,1,5
9,1,1,0,1,5
10,1,0,0,1,5
11,1,0,0,1,5
12,0,0,0,1,4
13,0,0,0,0,0
14,0,1,0,1,5
15,0,0,0,1,4
16,1,0,0,1,5
17,0,1,0,1,5
18,0,0,1,1,5
19,1,0,0,1,5
20,0,1,0,0,2
21,0,0,1,1,5
22,1,0,1,1,5
23,0,0,0,1,4
24,0,0,0,1,4
25,1,0,0,1,5
26,1,0,1,1,5
27,1,0,0,1,5
28,0,0,0,0,0
29,1,0,0,1,5
30,1,0,1,0,5
31,0,0,1,0,3
32,1,0,1,0,5
33,1,0,0,0,1
34,1,0,1,1,5
35,0,0,0,0,0
36,1,0,0,0,1
37,0,0,0,1,4
38,1,0,0,0,1
39,0,0,0,0,0
40,1,0,0,1,5
41,0,0,0,0,0
42,0,0,0,0,0
43,1,0,0,1,5
44,0,0,0,1,4
45,1,0,1,1,5
46,0,0,1,0,3
47,1,0,1,0,5
48,1,0,1,1,5
49,1,0,1,0,5
50,1,0,1,0,5
51,1,0,1,1,5
52,1,0,1,0,5
53,1,0,1,1,5
54,1,0,1,0,5
55,1,0,1,1,5
56,1,0,1,0,5
57,1,0,1,0,5
58,0,0,1,0,3
59,1,0,1,1,5
60,1,0,1,0,5
61,1,0,1,0,5
62,1,0,1,0,5
63,1,0,1,0,5
64,1,0,1,1,5
65,1,0,1,1,5
66,1,0,1,1,5
67,1,0,1,0,5
68,1,0,1,1,5
69,0,0,0,1,4
70,0,0,0,1,4
71,0,0,0,1,4
72,0,0,0,1,4
73,0,0,0,1,4
74,0,1,0,0,2
75,0,0,1,0,3
76,0,1,1,0,5
77,0,0,1,0,3
78,0,0,1,0,3
79,0,0,1,0,3
80,0,0,1,0,3
81,0,1,0,0,2
82,0,0,1,0,3
83,0,1,0,0,2
84,0,1,0,0,2
85,0,1,1,0,5
86,1,0,1,0,5
87,0,0,1,0,3
88,0,0,1,0,3
