PicSeq_AgeAdj,CardSort_AgeAdj,Flanker_AgeAdj,PMAT24_A_CR,PMAT24_A_SI,PMAT24_A_RTCR,ReadEng_AgeAdj,PicVocab_AgeAdj,ProcSpeed_AgeAdj,DDisc_AUC_200,DDisc_AUC_40K,VSPLOT_TC,VSPLOT_CRTE,VSPLOT_OFF,SCPT_SEN,SCPT_SPEC,IWRD_TOT,IWRD_RTC,ListSort_AgeAdj
84.24,107.87,96.52,21.0,0.0,12617.0,98.76199,113.5742,125.28,0.13626458,0.5628908,21.0,1155.8,13.0,0.95,0.975,38.0,1529.5,94.33
94.08,103.17,99.96,15.0,4.0,6960.0,104.57,105.12,105.46,0.19941562,0.4829429,17.0,1027.0,23.0,0.9333,0.9083,37.0,1470.0,85.26
130.24,98.08,107.54,15.0,4.0,18900.0,75.10873000000001,84.61769,110.48,0.12480625,0.7031251999999999,12.0,1122.4045,22.0,0.9333,0.9833,37.0,1830.0,98.44
112.44,85.56,88.35,20.0,0.0,21438.5,91.68656999999999,103.6362,83.82,0.09459791,0.33177105,18.0,1011.6429,21.0,0.9833,0.95,37.0,1607.5,98.44
101.07,88.74,105.67,19.0,0.0,12280.0,113.6584,111.4745,74.17,0.08925938,0.71002626,15.0,1010.0,19.0,0.9833,0.9917,36.0,1320.0,98.44
114.48,98.77,101.52,21.0,0.0,18340.0,106.664,110.4547,61.72,0.6630875,0.7718752,12.0,872.5595,24.0,0.9833,0.9417,40.0,1355.0,103.57
78.94,94.11,108.23,17.0,2.0,15549.0,126.36,122.75,83.0,0.22220208,0.37421897,11.0,1474.1428,24.0,1.0,0.9083,38.0,1440.0,108.26
99.03,88.09,84.46,16.0,3.0,14714.5,111.5575,104.6504,121.65,0.58444166,0.7968751999999999,4.0,726.075,49.0,0.9,0.9833,36.0,1575.0,98.44
96.13,114.41,115.15,20.0,0.0,18660.5,100.7038,128.6437,61.18,0.072592705,0.3343752,18.0,1638.375,23.0,0.9667,0.9583,34.0,1830.0,108.26
104.6,100.27,113.75,24.0,0.0,25985.0,129.8786,134.2571,119.78,0.2975927,0.9015627,13.0,950.0,19.0,0.9833,0.9333,38.0,1620.0,132.49
130.24,102.9,108.67,16.0,3.0,11125.0,130.3289,125.3619,108.74,0.330275,0.7093752,22.0,1036.5910000000001,9.0,0.9667,0.9333,39.0,1807.5,108.26
97.37,105.69,96.19,14.0,5.0,6880.0,112.9757,116.9699,97.87,0.08847812599999999,0.5843752,16.0,1234.1339,23.0,0.9167,0.9417,30.0,1390.0,123.73
109.65,106.93,120.21,23.0,0.0,34739.0,128.5668,122.0294,72.46,0.41946772,0.9656252000000001,23.0,858.0,9.0,0.8833,0.975,33.0,1760.0,89.14
87.4,115.21,107.86,17.0,2.0,11560.0,124.6994,140.0933,108.74,0.617775,0.70976585,17.0,1099.8572,14.0,0.9833,0.9083,39.0,1260.0,103.57
101.12,108.59,106.76,21.0,0.0,13475.0,97.84483,111.3834,99.57,0.26946770000000003,0.90403664,16.0,959.0625,15.0,0.95,0.9667,34.0,1548.0,108.26
130.24,86.96,79.0,20.0,0.0,14170.5,101.2281,111.2759,75.77,0.032097917000000004,0.03723979,16.0,864.6429,21.0,0.9833,0.9333,35.0,1460.0,108.26
121.69,114.52,106.76,20.0,0.0,15240.0,92.96995,108.7726,119.78,0.06920729,0.15104188,12.0,1095.1704,27.0,0.9667,0.9167,36.0,1327.5,118.14
